sent_len_avg,sent_len_var,vocab_density,hapax_ratio,ttr_score,word_len_avg,word_len_var,ext_pictographic_density,stopword_count,punc_tilde,punc_backtick,punc_excl,punc_at,punc_hash,punc_dollar,punc_percent,punc_caret,punc_amp,punc_star,punc_lparen,punc_rparen,punc_under,punc_hyphen,punc_plus,punc_equal,punc_lbrace,punc_rbrace,punc_lbracket,punc_rbracket,punc_backslash,punc_pipe,punc_semi,punc_colon,punc_squote,punc_dquote,punc_comma,punc_langle,punc_period,punc_rangle,punc_slash,punc_question,label
66.8,3686.239999999999,0.7159420289855073,0.8299595141700404,0.6057142857142858,4.860869565217391,7.215425330812854,0.002898550724637681,134,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.09230769230769231,0.015384615384615385,0.015384615384615385,0.12307692307692308,0.03076923076923077,0.0,0.0,0.0,0.0,0.03076923076923077,0.03076923076923077,0.0,0.0,0.0,0.15384615384615385,0.015384615384615385,0.0,0.24615384615384617,0.0,0.2,0.0,0.03076923076923077,0.0,human
70.625,4757.317708333333,0.6402116402116402,0.7892561983471075,0.5498721227621484,4.526455026455026,5.244009126284259,0.0,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05102040816326531,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11224489795918367,0.21428571428571427,0.30612244897959184,0.0,0.21428571428571427,0.0,0.0,0.030612244897959183,human
70.04166666666667,3119.206597222222,0.5913705583756346,0.7682403433476395,0.5125628140703518,4.309644670050761,4.858434899121337,0.0,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06493506493506493,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.16883116883116883,0.36363636363636365,0.0,0.24675324675324675,0.0,0.0,0.03896103896103896,human
65.11538461538461,1948.332840236687,0.6134663341645885,0.7764227642276422,0.5192307692307693,4.27431421446384,4.822507322715654,0.0,218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022988505747126436,0.04597701149425287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.12643678160919541,0.16091954022988506,0.3333333333333333,0.0,0.26436781609195403,0.0,0.0,0.034482758620689655,human
78.5909090909091,2471.3326446280994,0.5846153846153846,0.7456140350877193,0.5198019801980198,4.487179487179487,5.624194608809994,0.0,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0547945205479452,0.0273972602739726,0.4657534246575342,0.0,0.3013698630136986,0.0,0.0,0.0,human
63.925925925925924,2982.8093278463643,0.6109660574412533,0.7692307692307693,0.5099502487562189,4.5718015665796345,4.9289176420863186,0.0,184,0.0,0.0,0.0,0.0,0.0,0.05319148936170213,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.05319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.09574468085106383,0.13829787234042554,0.32978723404255317,0.0,0.2765957446808511,0.0,0.0,0.031914893617021274,human
65.07692307692308,3551.532544378698,0.640625,0.7479674796747967,0.5251256281407035,4.4609375,4.712015787760417,0.0,178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049019607843137254,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18627450980392157,0.20588235294117646,0.2549019607843137,0.0,0.27450980392156865,0.0,0.0,0.0196078431372549,human
86.1,3215.09,0.6025641025641025,0.7531914893617021,0.5062344139650873,4.458974358974359,4.473957922419461,0.0,192,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01904761904761905,0.0,0.09523809523809523,0.20952380952380953,0.3904761904761905,0.0,0.23809523809523808,0.0,0.0,0.009523809523809525,human
98.47058823529412,3099.5432525951555,0.576271186440678,0.7647058823529411,0.4915254237288136,4.084745762711864,4.121147453523207,0.0,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05952380952380952,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.047619047619047616,0.23809523809523808,0.40476190476190477,0.0,0.21428571428571427,0.0,0.0,0.011904761904761904,human
107.375,5333.109375,0.5824468085106383,0.7442922374429224,0.5430809399477807,4.6037234042553195,6.217964859665007,0.0,171,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0847457627118644,0.0,0.0,0.0,0.15254237288135594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.06779661016949153,0.06779661016949153,0.3559322033898305,0.0,0.23728813559322035,0.0,0.0,0.0,human
