method_name,size,time
DT_LDA,10000,1777592057.4252992
DT_LDA,100,1777592057.426526
DT_LDA,500,1777592057.4264915
DT_LDA,1000,1777592057.4264476
DT_LDA,5000,1777592057.4260812
DT_LDA,10000,1777592057.4255083
DT_LDA,100,1777592057.4263175
DT_LDA,500,1777592057.426494
DT_LDA,1000,1777592057.4264464
DT_LDA,5000,1777592057.4260573
DT_LDA,10000,1777592057.4255786
DT_LDA,100,1777592057.4265327
DT_LDA,500,1777592057.4264998
DT_LDA,1000,1777592057.4264197
DT_LDA,5000,1777592057.425852
DT_LDA,10000,1777592057.4255815
DT_LDA,100,1777592057.4262617
DT_LDA,500,1777592057.4264896
DT_LDA,1000,1777592057.426426
DT_LDA,5000,1777592057.4260716
DT_LDA,10000,1777592057.4254868
DT_LDA,100,1777592057.4265282
DT_LDA,500,1777592057.4265034
DT_LDA,1000,1777592057.4264426
DT_LDA,5000,1777592057.426087
DT_LDA,10000,1777592057.4255278
DT_LDA,100,1777592057.426525
DT_LDA,500,1777592057.4265046
DT_LDA,1000,1777592057.4264514
DT_LDA,5000,1777592057.42589
DT_LDA,10000,1777592057.4253056
DT_LDA,100,1777592057.426521
DT_LDA,500,1777592057.4264991
DT_LDA,1000,1777592057.4264457
DT_LDA,5000,1777592057.426046
DT_LDA,10000,1777592057.4254782
DT_LDA,100,1777592057.4265277
DT_LDA,500,1777592057.4265022
DT_LDA,1000,1777592057.426452
DT_LDA,5000,1777592057.4260862
DT_LDA,10000,1777592057.4253542
DT_LDA,100,1777592057.4264843
DT_LDA,500,1777592057.4264982
DT_LDA,1000,1777592057.4264474
DT_LDA,5000,1777592057.4260592
DT_LDA,10000,1777592057.4254756
DT_LDA,100,1777592057.4265351
DT_LDA,500,1777592057.4265
DT_LDA,1000,1777592057.4264538
DT_LDA,5000,1777592057.4260604
DT_LDA,10000,1777592057.425444
DT_LDA,100,1777592057.4264874
DT_LDA,500,1777592057.4264722
DT_LDA,1000,1777592057.4264307
DT_LDA,5000,1777592057.4260197
DT_LDA,10000,1777592057.4254758
DT_PCA,100,1777592057.4264019
DT_PCA,500,1777592057.4264195
DT_PCA,1000,1777592057.4263103
DT_PCA,5000,1777592057.4258456
DT_PCA,10000,1777592057.4249573
DT_PCA,100,1777592057.4264662
DT_PCA,500,1777592057.426452
DT_PCA,1000,1777592057.4263966
DT_PCA,5000,1777592057.4257898
DT_PCA,10000,1777592057.4251225
DT_PCA,100,1777592057.426498
DT_PCA,500,1777592057.426456
DT_PCA,1000,1777592057.4264092
DT_PCA,5000,1777592057.425908
DT_PCA,10000,1777592057.4252138
DT_PCA,100,1777592057.4265013
DT_PCA,500,1777592057.426454
DT_PCA,1000,1777592057.4263124
DT_PCA,5000,1777592057.4258962
DT_PCA,10000,1777592057.425359
DT_PCA,100,1777592057.4265137
DT_PCA,500,1777592057.4264703
DT_PCA,1000,1777592057.426375
DT_PCA,5000,1777592057.4259179
DT_PCA,10000,1777592057.4253266
DT_PCA,100,1777592057.4265115
DT_PCA,500,1777592057.4264736
DT_PCA,1000,1777592057.4263837
DT_PCA,5000,1777592057.4259453
DT_PCA,10000,1777592057.4250765
DT_PCA,100,1777592057.4264867
DT_PCA,500,1777592057.426449
DT_PCA,1000,1777592057.426359
DT_PCA,5000,1777592057.4259303
DT_PCA,10000,1777592057.4247997
DT_PCA,100,1777592057.4264805
DT_PCA,500,1777592057.4264593
DT_PCA,1000,1777592057.4263582
DT_PCA,5000,1777592057.4258876
DT_PCA,10000,1777592057.4250844
DT_PCA,100,1777592057.4264615
DT_PCA,500,1777592057.4264433
DT_PCA,1000,1777592057.4263713
DT_PCA,5000,1777592057.4257455
DT_PCA,10000,1777592057.4253974
DT_PCA,100,1777592057.4265103
DT_PCA,500,1777592057.426474
DT_PCA,1000,1777592057.4264257
DT_PCA,5000,1777592057.4259
DT_PCA,10000,1777592057.4251988
DT_PCA,100,1777592057.4265156
DT_PCA,500,1777592057.4264684
DT_PCA,1000,1777592057.4264145
DT_PCA,5000,1777592057.4258173
DT_PCA,10000,1777592057.4253666
DT_PCA,100,1777592057.4265194
DT_PCA,500,1777592057.4264662
DT_PCA,1000,1777592057.4263847
DT_PCA,5000,1777592057.4258342
DT_PCA,10000,1777592057.4251788
DT_PCA,100,1777592057.4265034
DT_PCA,500,1777592057.4264576
DT_PCA,1000,1777592057.4263728
DT_PCA,5000,1777592057.4258738
DT_PCA,10000,1777592057.4251218
DT_PCA,100,1777592057.4265094
DT_PCA,500,1777592057.4264386
DT_PCA,1000,1777592057.4262915
DT_PCA,5000,1777592057.4258256
DT_PCA,10000,1777592057.4251087
DT_PCA,100,1777592057.4264896
DT_PCA,500,1777592057.4264445
DT_PCA,1000,1777592057.4263875
DT_PCA,5000,1777592057.4258692
DT_PCA,10000,1777592057.4250565
DT_PCA,100,1777592057.426478
DT_PCA,500,1777592057.4264374
DT_PCA,1000,1777592057.4263828
DT_PCA,5000,1777592057.425708
DT_PCA,10000,1777592057.4250824
DT_PCA,100,1777592057.4265115
DT_PCA,500,1777592057.4264562
DT_PCA,1000,1777592057.4264162
DT_PCA,5000,1777592057.4257565
DT_PCA,10000,1777592057.425153
DT_PCA,100,1777592057.4265134
DT_PCA,500,1777592057.426462
DT_PCA,1000,1777592057.4264195
DT_PCA,5000,1777592057.4253857
DT_PCA,10000,1777592057.425244
DT_PCA,100,1777592057.4265072
DT_PCA,500,1777592057.4264266
DT_PCA,1000,1777592057.4264145
DT_PCA,5000,1777592057.4258826
DT_PCA,10000,1777592057.425317
DT_PCA,100,1777592057.4265137
DT_PCA,500,1777592057.4264736
DT_PCA,1000,1777592057.4263778
DT_PCA,5000,1777592057.4259381
DT_PCA,10000,1777592057.4253414
Random_Forest,100,1777592057.4125643
Random_Forest,500,1777592057.4137716
Random_Forest,1000,1777592057.413986
Random_Forest,5000,1777592057.4138649
Random_Forest,10000,1777592057.4029148
Random_Forest,100,1777592057.413404
Random_Forest,500,1777592057.4145129
Random_Forest,1000,1777592057.4141452
